=== SAMPLE 10 (Set) START ===
F0:[73,94,128,24,37,204,184,172,15]
F1:[77,96,128,32,50,209,195,175,132]
F2:[70,100,128,112,50,224,191,173,121]
F3:[74,98,128,148,75,193,184,178,132]
F4:[72,101,126,26,62,229,206,178,126]
F5:[178,87,128,194,62,214,182,172,234]
F6:[186,94,128,64,11,209,197,179,136]
F7:[186,79,126,46,37,229,193,175,128]
F8:[183,92,126,16,75,229,201,178,125]
F9:[183,79,128,76,88,209,204,175,128]
F10:[98,97,126,36,75,204,199,176,43]
F11:[74,103,126,44,75,209,204,176,104]
F12:[75,96,128,56,255,209,195,175,129]
F13:[74,104,126,56,75,209,187,175,127]
F14:[71,97,128,4,75,204,189,175,125]
F15:[150,93,126,4,62,224,197,170,207]
F16:[188,78,126,106,62,214,195,179,166]
F17:[186,92,126,4,101,214,189,175,126]
F18:[184,83,128,38,50,209,197,176,126]
F19:[183,88,128,146,62,219,184,175,127]
F20:[188,125,126,90,24,229,195,173,133]
F21:[192,143,126,28,62,219,210,173,132]
F22:[188,147,128,16,50,224,184,173,124]
F23:[189,133,126,56,62,204,199,173,129]
F24:[189,151,128,38,50,214,206,175,128]
F25:[189,117,128,116,75,209,191,172,128]
F26:[189,76,126,16,24,224,191,174,128]
F27:[190,76,128,100,50,224,193,174,129]
F28:[185,82,128,32,88,224,197,172,123]
F29:[184,74,128,28,62,193,206,174,127]
F30:[185,99,128,154,50,219,199,174,129]
F31:[194,147,128,66,50,204,197,177,137]
F32:[187,142,126,16,62,229,193,177,121]
F33:[190,148,126,140,37,224,197,175,131]
F34:[189,140,126,38,75,209,204,174,127]
F35:[189,128,128,172,37,209,193,173,128]
F36:[190,75,126,16,75,234,195,178,129]
F37:[190,89,128,112,62,224,187,173,128]
F38:[186,70,128,62,24,214,182,178,124]
F39:[185,93,126,40,62,224,204,175,127]
=== SAMPLE 10 STOP ===
